id,p,numFeedgrounds,feedAccess
10_1-2,winter1,0,0
10_1-2,winter2,0,0
1132_1-2,winter1,0,0
1132_1-2,winter2,0,0
1133_1-2,winter1,0,0
1133_1-2,winter2,0,0
1137_1-2,winter1,0,0
1137_1-2,winter2,0,0
1138_1-2,winter1,0,0
1138_1-2,winter2,0,0
1139_1-2,winter1,0,0
1139_1-2,winter2,0,0
1142_1-2,winter1,0,0
1142_1-2,winter2,0,0
1143_1-2,winter1,0,0
1143_1-2,winter2,0,0
1144_1-2,winter1,0,0
1144_1-2,winter2,0,0
1147_1-2,winter1,0,0
1147_1-2,winter2,0,0
1148_1-2,winter1,0,0
1148_1-2,winter2,0,0
1149_1-2,winter1,0,0
1149_1-2,winter2,0,0
1151_1-2,winter1,0,0
1151_1-2,winter2,0,0
1152_1-2,winter1,0,0
1152_1-2,winter2,0,0
1153_1-2,winter1,0,0
1153_1-2,winter2,0,0
1154_1-2,winter1,0,0
1154_1-2,winter2,0,0
1157_1-2,winter1,0,0
1157_1-2,winter2,0,0
1159_1-2,winter1,0,0
1159_1-2,winter2,0,0
1160_1-2,winter1,0,0
1160_1-2,winter2,0,0
1161_1-2,winter1,0,0
1161_1-2,winter2,0,0
1162_1-2,winter1,0,0
1162_1-2,winter2,0,0
1163_1-2,winter1,0,0
1163_1-2,winter2,0,0
1164_1-2,winter1,0,0
1164_1-2,winter2,0,0
1165_1-2,winter1,0,0
1165_1-2,winter2,0,0
1166_1-2,winter1,0,0
1166_1-2,winter2,0,0
1166_2-3,winter1,0,0
1166_2-3,winter2,0,0
1167_1-2,winter1,0,0
1167_1-2,winter2,0,0
1167_2-3,winter1,0,0
1167_2-3,winter2,0,0
1169_3-4,winter1,0,0
1169_3-4,winter2,0,0
1170_1-2,winter1,0,0
1170_1-2,winter2,0,0
1173_1-2,winter1,0,0
1173_1-2,winter2,0,0
1173_2-3,winter1,0,0
1173_2-3,winter2,0,0
1174_1-2,winter1,0,0
1174_1-2,winter2,0,0
1176_1-2,winter1,0,0
1176_1-2,winter2,0,0
1176_2-3,winter1,0,0
1176_2-3,winter2,0,0
1178_1-2,winter1,0,0
1178_1-2,winter2,0,0
1178_2-3,winter1,0,0
1178_2-3,winter2,0,0
118_1-2,winter1,1,1
118_1-2,winter2,1,1
1181_1-2,winter1,0,0
1181_1-2,winter2,0,0
1181_2-3,winter1,0,0
1181_2-3,winter2,0,0
119_1-2,winter1,0,0
119_1-2,winter2,0,0
122_1-2,winter1,0,0
122_1-2,winter2,1,1
123_1-2,winter1,1,1
123_1-2,winter2,0,0
1233_1-2,winter1,0,0
1233_1-2,winter2,0,0
1233_2-3,winter1,0,0
1233_2-3,winter2,0,0
1233_3-4,winter1,0,0
1233_3-4,winter2,0,0
1233_4-5,winter1,0,0
1233_4-5,winter2,0,0
1234_1-2,winter1,0,0
1234_1-2,winter2,0,0
1235_1-2,winter1,0,0
1235_1-2,winter2,0,0
1236_1-2,winter1,0,0
1236_1-2,winter2,0,0
1239_1-2,winter1,0,0
1239_1-2,winter2,0,0
1240_1-2,winter1,0,0
1240_1-2,winter2,0,0
1240_2-3,winter1,0,0
1240_2-3,winter2,0,0
1240_3-4,winter1,0,0
1240_3-4,winter2,0,0
1240_4-5,winter1,0,0
1240_4-5,winter2,0,0
1245_1-2,winter1,0,0
1245_1-2,winter2,0,0
1246_1-2,winter1,0,0
1246_1-2,winter2,0,0
1248_1-2,winter1,0,0
1248_1-2,winter2,0,0
1248_2-3,winter1,0,0
1248_2-3,winter2,0,0
1249_1-2,winter1,0,0
1249_1-2,winter2,0,0
1249_2-3,winter1,0,0
1249_2-3,winter2,0,0
1249_3-4,winter1,0,0
1249_3-4,winter2,0,0
1250_1-2,winter1,0,0
1250_1-2,winter2,0,0
1252_1-2,winter1,0,0
1252_1-2,winter2,0,0
1252_2-3,winter1,0,0
1252_2-3,winter2,0,0
1253_1-2,winter1,0,0
1253_1-2,winter2,0,0
1294_1-2,winter1,0,0
1294_1-2,winter2,0,0
1306_1-2,winter1,0,0
1306_1-2,winter2,0,0
1311_1-2,winter1,0,0
1311_1-2,winter2,0,0
134_1-2,winter1,1,1
134_1-2,winter2,1,1
135_1-2,winter1,1,1
135_1-2,winter2,1,1
1358_1-2,winter1,0,0
1358_1-2,winter2,0,0
1359_1-2,winter1,0,0
1359_1-2,winter2,0,0
1368_1-2,winter1,0,0
1368_1-2,winter2,0,0
137_1-2,winter1,1,1
137_1-2,winter2,2,1
1379_1-2,winter1,0,0
1379_1-2,winter2,0,0
139_1-2,winter1,1,1
139_1-2,winter2,1,1
14_1-2,winter1,0,0
14_1-2,winter2,0,0
140_1-2,winter1,7,1
140_1-2,winter2,8,1
1406_1-2,winter1,0,0
1406_1-2,winter2,0,0
1409_1-2,winter1,0,0
1409_1-2,winter2,0,0
143_1-2,winter1,0,0
143_1-2,winter2,0,0
145_1-2,winter1,0,0
145_1-2,winter2,0,0
146_1-2,winter1,0,0
146_1-2,winter2,0,0
1463_1-2,winter1,0,0
1463_1-2,winter2,0,0
1463_2-3,winter1,0,0
1463_2-3,winter2,0,0
1463_3-4,winter1,0,0
1463_3-4,winter2,0,0
1463_4-5,winter1,0,0
1463_4-5,winter2,0,0
1467_1-2,winter1,0,0
1467_1-2,winter2,0,0
1467_2-3,winter1,0,0
1467_2-3,winter2,0,0
1467_3-4,winter1,0,0
1467_3-4,winter2,0,0
1468_1-2,winter1,0,0
1468_1-2,winter2,0,0
1468_2-3,winter1,0,0
1468_2-3,winter2,0,0
1468_3-4,winter1,0,0
1468_3-4,winter2,0,0
147_1-2,winter1,0,0
147_1-2,winter2,0,0
1472_1-2,winter1,0,0
1472_1-2,winter2,0,0
1472_2-3,winter1,0,0
1472_2-3,winter2,0,0
1472_3-4,winter1,0,0
1472_3-4,winter2,0,0
1472_4-5,winter1,0,0
1472_4-5,winter2,0,0
1474_1-2,winter1,0,0
1474_1-2,winter2,0,0
1474_2-3,winter1,0,0
1474_2-3,winter2,0,0
1474_3-4,winter1,0,0
1474_3-4,winter2,0,0
1474_4-5,winter1,0,0
1474_4-5,winter2,0,0
1476_1-2,winter1,0,0
1476_1-2,winter2,0,0
1476_2-3,winter1,0,0
1476_2-3,winter2,0,0
1476_3-4,winter1,0,0
1476_3-4,winter2,0,0
1476_4-5,winter1,0,0
1476_4-5,winter2,0,0
148_1-2,winter1,0,0
148_1-2,winter2,0,0
1482_1-2,winter1,0,0
1482_1-2,winter2,0,0
1483_1-2,winter1,0,0
1483_1-2,winter2,0,0
1485_1-2,winter1,0,0
1485_1-2,winter2,0,0
1485_2-3,winter1,0,0
1485_2-3,winter2,0,0
1487_1-2,winter1,0,0
1487_1-2,winter2,0,0
1487_2-3,winter1,0,0
1487_2-3,winter2,0,0
1487_3-4,winter1,0,0
1487_3-4,winter2,0,0
149_1-2,winter1,0,0
149_1-2,winter2,0,0
149_2-3,winter1,0,0
149_2-3,winter2,7,1
149_3-4,winter1,7,1
149_3-4,winter2,0,0
1492_1-2,winter1,0,0
1492_1-2,winter2,0,0
1492_2-3,winter1,0,0
1492_2-3,winter2,0,0
1492_3-4,winter1,0,0
1492_3-4,winter2,0,0
1493_1-2,winter1,0,0
1493_1-2,winter2,0,0
1493_2-3,winter1,0,0
1493_2-3,winter2,0,0
1493_3-4,winter1,0,0
1493_3-4,winter2,0,0
1496_1-2,winter1,0,0
1496_1-2,winter2,0,0
1496_2-3,winter1,0,0
1496_2-3,winter2,0,0
1496_3-4,winter1,0,0
1496_3-4,winter2,0,0
1497_1-2,winter1,0,0
1497_1-2,winter2,0,0
1497_2-3,winter1,0,0
1497_2-3,winter2,0,0
1498_1-2,winter1,0,0
1498_1-2,winter2,0,0
1498_2-3,winter1,0,0
1498_2-3,winter2,0,0
1498_3-4,winter1,0,0
1498_3-4,winter2,0,0
1499_1-2,winter1,0,0
1499_1-2,winter2,0,0
150_1-2,winter1,0,0
150_1-2,winter2,0,0
1501_1-2,winter1,0,0
1501_1-2,winter2,0,0
1501_2-3,winter1,0,0
1501_2-3,winter2,0,0
1501_3-4,winter1,0,0
1501_3-4,winter2,0,0
1502_1-2,winter1,0,0
1502_1-2,winter2,0,0
1502_2-3,winter1,0,0
1502_2-3,winter2,0,0
1502_3-4,winter1,0,0
1502_3-4,winter2,0,0
1503_1-2,winter1,0,0
1503_1-2,winter2,0,0
1503_2-3,winter1,0,0
1503_2-3,winter2,0,0
1503_3-4,winter1,0,0
1503_3-4,winter2,0,0
1504_1-2,winter1,0,0
1504_1-2,winter2,0,0
1504_2-3,winter1,0,0
1504_2-3,winter2,0,0
151_1-2,winter1,0,0
151_1-2,winter2,0,0
1510_1-2,winter1,0,0
1510_1-2,winter2,0,0
1512_1-2,winter1,0,0
1512_1-2,winter2,0,0
1516_1-2,winter1,0,0
1516_1-2,winter2,0,0
1517_1-2,winter1,0,0
1517_1-2,winter2,0,0
152_1-2,winter1,0,0
152_1-2,winter2,0,0
1520_1-2,winter1,0,0
1520_1-2,winter2,0,0
153_1-2,winter1,0,0
153_1-2,winter2,0,0
1530_3-4,winter1,0,0
1530_3-4,winter2,0,0
1537_1-2,winter1,0,0
1537_1-2,winter2,0,0
1537_2-3,winter1,0,0
1537_2-3,winter2,0,0
1537_3-4,winter1,0,0
