elkYear,manualSpStart,manualSpEnd,manualFaStart,manualFaEnd
10_1,6-17,6-27,"",""
10_2,,,,
100_1,,,,
100_2,3-30,5-6,10-17,11-19
101_1,,,,
101_2,"","","",""
102_1,,,,
102_2,4-22,5-3,11-25,11-27
1132_1,4-1,4-15,11-23,12-8
1132_2,,,,
1133_1,5-26,6-30,9-26,12-5
1133_2,,,,
1137_1,4-1,4-22,11-22,12-18
1137_2,,,,
1138_1,4-2,4-20,12-5,12-9
1138_2,,,,
1139_1,"","","",""
1139_2,,,,
1142_1,4-22,5-8,11-23,11-24
1142_2,,,,
1143_1,4-27,4-30,10-5,10-9
1143_2,,,,
1144_1,"","","",""
1144_2,,,,
1147_1,5-3,5-10,11-23,12-29
1147_2,,,,
1148_1,4-1,4-8,11-30,12-8
1148_2,,,,
1149_1,6-30,7-2,11-11,11-20
1149_2,,,,
1151_1,"","","",""
1151_2,,,,
1152_1,5-18,7-20,8-22,10-10
1152_2,,,,
1153_1,4-1,4-24,11-21,12-08
1153_2,,,,
1154_1,3-31,4-29,12-5,12-21
1154_2,,,,
1157_1,3-26,5-18,10-10,12-08
1157_2,,,,
1159_1,8-19,8-21,11-11,12-8
1159_2,,,,
1160_1,"","","",""
1160_2,,,,
1161_1,4-1,5-25,10-10,12-8
1161_2,,,,
1162_1,4-10,4-13,11-17,12-8
1162_2,,,,
1163_1,3-25,4-24,1-11,1-19
1163_2,,,,
1164_1,2-23,2-26,12-4,12-8
1164_2,,,,
1165_1,,,,
1165_2,4-23,6-11,"",""
1166_1,,,,
1166_2,,,,
1166_3,5-17,5-26,10-20,10-28
1166_4,,,,
1167_1,,,,
1167_2,,,,
1167_3,5-19,5-25,12-06,12-26
1167_4,,,,
1169_3,,,,
1169_4,,,,
1169_6,6-30,7-18,9-29,10-4
1170_1,5-13,06-09,10-27,11-21
1170_2,,,,
1173_1,,,,
1173_2,,,,
1173_3,5-18,5-31,10-05,11-06
1173_4,,,,
1174_1,,,,
1174_2,4-21,5-19,"",""
1176_1,,,,
1176_2,5-2,06-08,11-08,12-4
1176_3,,,,
1177_3,5-19,6-3,10-19,11-13
1177_4,,,,
1178_1,,,,
1178_2,,,,
1178_3,6-6,6-11,10-9,11-8
1178_4,,,,
118_1,,,,
118_2,3-6,4-1,12-19,12-21
1181_1,,,,
1181_2,,,,
1181_3,4-21,5-20,12-1,12-23
119_1,,,,
119_2,3-3,5-18,11-6,12-2
122_1,,,,
122_2,4-21,5-12,11-29,12-9
123_1,3-14,6-12,11-6,12-28
123_2,,,,
1233_1,,,,
1233_2,,,,
1233_3,,,,
1233_4,,,,
1233_5,5-4,5-7,10-15,11-19
1234_1,,,,
1234_2,3-14,3-18,7-25,7-30
1235_1,,,,
1235_2,"","","",""
1236_1,,,,
1236_2,2-4,4-16,10-27,12-27
1239_1,,,,
1239_2,2-5,2-7,11-2,11-8
1240_1,,,,
1240_2,,,,
1240_3,,,,
1240_4,,,,
1240_5,5-3,5-5,6-26,9-22
1241_1,5-1,5-3,7-8,11-6
1241_3,,,,
1245_1,,,,
1245_2,4-23,4-30,10-19,10-21
1246_1,,,,
1246_2,3-11,3-18,10-22,11-5
1248_1,,,,
