years,EM - SDM,LDM - SDM,SDM - EM,SDM - LDM,EM - LDM,LDM - EM,R - SDM,R - LDM,SDM - R,EM - R,LDM - R,totalSwitches
2006-2007,1,1,1,2,0,0,0,0,0,0,0,5
2007-2008,2,0,2,2,2,2,2,0,0,0,0,12
2008-2009,2,2,1,0,1,2,1,1,1,0,0,11
2009-2010,2,0,0,2,0,0,0,0,0,0,0,4
2010-2011,2,1,1,0,0,0,0,0,0,0,0,4
2011-2012,0,1,0,0,0,0,0,0,0,0,0,1
2012-2013,4,2,3,0,0,0,0,0,0,0,0,9
2013-2014,0,1,0,2,0,0,0,0,0,0,0,3
2014-2015,5,2,4,0,0,1,0,0,0,0,0,12
2015-2016,5,0,6,0,2,0,1,0,0,0,0,14
2016-2017,4,0,3,0,2,0,0,0,0,1,0,10
2017-2018,0,0,2,0,0,0,1,0,0,0,0,3
2018-2019,2,0,2,2,0,0,0,0,2,0,0,8
2019-2020,1,0,2,0,3,1,0,0,1,0,1,9
